Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599793327,192.168.86.90,56498,54.149.94.178,443,6,260,4449,5,5
1599793327,192.168.86.90,56500,54.149.94.178,443,6,160,108,2,1
1599793328,192.168.86.90,56500,54.149.94.178,443,6,52,344,1,1
1599793328,192.168.86.90,56498,54.149.94.178,443,6,52,618,1,1
1599793329,192.168.86.90,56498,54.149.94.178,443,6,104,1406,2,2
1599793329,192.168.86.90,56500,54.149.94.178,443,6,156,3494,3,3
1599793329,192.168.86.90,56506,45.57.100.137,443,6,8885,838915,97,564
1599793329,192.168.86.90,56504,45.57.100.137,443,6,1469,34569,10,24
1599793329,192.168.86.90,56505,45.57.100.137,443,6,1640,92337,13,63
1599793329,192.168.86.90,56503,45.57.100.137,443,6,5100,544227,61,366
1599793329,192.168.86.90,56510,192.168.86.91,80,6,40,52,1,1
1599793330,192.168.86.90,56506,45.57.100.137,443,6,14240,1724689,181,1156
1599793330,192.168.86.90,56503,45.57.100.137,443,6,11590,1149337,130,772
1599793330,192.168.86.90,56505,45.57.100.137,443,6,3442,184746,29,125
1599793330,192.168.86.90,56504,45.57.100.137,443,6,4894,544716,57,366
1599793330,192.168.86.90,56498,54.149.94.178,443,6,52,790,1,1
1599793330,192.168.86.90,56493,52.33.134.215,443,6,12394,5253,12,8
1599793331,192.168.86.90,56506,45.57.100.137,443,6,24558,2217069,249,1492
1599793331,192.168.86.90,56504,45.57.100.137,443,6,17492,1481983,169,998
1599793331,192.168.86.90,56503,45.57.100.137,443,6,24008,2380509,257,1599
1599793331,192.168.86.90,56505,45.57.100.137,443,6,7824,715403,76,481
1599793331,192.168.86.90,56498,54.149.94.178,443,6,110,52,1,1
1599793331,192.168.86.90,56500,54.149.94.178,443,6,110,52,1,1
1599793331,192.168.86.90,56499,54.149.94.178,443,6,110,52,1,1
1599793331,192.168.86.90,56509,142.250.68.10,443,6,1169,949,8,7
1599793332,192.168.86.90,56506,45.57.100.137,443,6,17366,1339507,166,905
1599793332,192.168.86.90,56509,142.250.68.10,443,6,0,52,0,1
1599793332,192.168.86.90,56503,45.57.100.137,443,6,9712,1044825,112,701
1599793332,192.168.86.90,56505,45.57.100.137,443,6,19150,1514664,182,1022
1599793332,192.168.86.90,56504,45.57.100.137,443,6,10929,1029608,117,693
1599793333,192.168.86.90,56498,54.149.94.178,443,6,104,1275,2,2
1599793334,192.168.86.90,56517,8.37.96.194,4287,6,1151,3452,7,6
1599793334,192.168.86.90,56498,54.149.94.178,443,6,264,1545,4,4
1599793334,192.168.86.1,53,192.168.86.90,50537,17,98,64,1,1
1599793334,192.168.86.1,53,192.168.86.90,60364,17,128,128,2,2
1599793334,192.168.86.1,0,192.168.86.90,0,1,0,112,0,2
1599793334,192.168.86.90,56493,52.33.134.215,443,6,8769,1477,8,4
1599793334,192.168.86.1,35156,239.255.255.250,1900,17,5127,0,11,0
1599793335,192.168.86.1,35156,239.255.255.250,1900,17,5127,0,11,0
1599793335,192.168.86.90,56498,54.149.94.178,443,6,52,745,1,1
1599793335,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599793335,192.168.86.90,56517,8.37.96.194,4287,6,366,798,5,5
1599793336,192.168.86.90,56498,54.149.94.178,443,6,104,1496,2,2
1599793336,192.168.86.90,56499,54.149.94.178,443,6,160,160,2,2
1599793336,192.168.86.90,56517,8.37.96.194,4287,6,152,428,2,2
1599793336,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793337,192.168.86.90,56500,54.149.94.178,443,6,160,160,2,2
1599793338,192.168.86.90,56498,54.149.94.178,443,6,104,1287,2,2
1599793339,192.168.86.90,56517,8.37.96.194,4287,6,456,739,6,6
1599793339,192.168.86.90,56498,54.149.94.178,443,6,52,753,1,1
1599793340,192.168.86.90,56494,162.222.42.179,4287,6,15101,572,11,11
1599793340,192.168.86.90,49733,239.255.255.250,1900,17,202,0,1,0
1599793341,192.168.86.90,56498,54.149.94.178,443,6,52,740,1,1
1599793341,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793341,192.168.86.90,49733,239.255.255.250,1900,17,202,0,1,0
1599793342,192.168.86.90,56498,54.149.94.178,443,6,52,795,1,1
1599793342,192.168.86.90,49733,239.255.255.250,1900,17,202,0,1,0
1599793342,192.168.86.90,56513,216.58.195.67,443,6,40,52,1,1
1599793343,192.168.86.90,56498,54.149.94.178,443,6,52,762,1,1
1599793343,192.168.86.90,49733,239.255.255.250,1900,17,202,0,1,0
1599793344,192.168.86.90,56498,54.149.94.178,443,6,316,2256,5,4
1599793345,192.168.86.1,53,192.168.86.90,52195,17,139,79,1,1
1599793345,192.168.86.90,56522,52.114.132.91,443,6,11771,4611,17,9
1599793345,192.168.86.90,56499,54.149.94.178,443,6,160,108,2,1
1599793346,192.168.86.90,56522,52.114.132.91,443,6,50833,1040,35,20
1599793346,192.168.86.90,56498,54.149.94.178,443,6,52,747,1,1
1599793347,192.168.86.90,56498,54.149.94.178,443,6,52,747,1,1
1599793347,192.168.86.90,56500,54.149.94.178,443,6,160,108,2,1
