Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599791138,192.168.86.90,59651,8.37.96.91,443,17,11980,1888,20,16
1599791139,192.168.86.90,59651,8.37.96.91,443,17,14909,6225,17,10
1599791140,192.168.86.90,59651,8.37.96.91,443,17,106,708,1,6
1599791142,192.168.86.90,59651,8.37.96.91,443,17,3373,292,8,2
1599791143,192.168.86.90,59651,8.37.96.91,443,17,3191,708,7,6
1599791143,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791144,192.168.86.90,59651,8.37.96.91,443,17,3013,764,6,6
1599791145,192.168.86.90,59651,8.37.96.91,443,17,3203,764,7,6
1599791146,192.168.86.90,59651,8.37.96.91,443,17,3155,826,7,7
1599791147,192.168.86.90,59651,8.37.96.91,443,17,118,762,1,6
1599791148,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791148,192.168.86.90,59651,8.37.96.91,443,17,96485,67213,158,114
1599791149,192.168.86.90,59651,8.37.96.91,443,17,103083,1209306,639,877
1599791149,192.168.86.90,50713,239.255.255.250,1900,17,202,0,1,0
1599791150,192.168.86.90,59651,8.37.96.91,443,17,247773,3913735,1365,2813
1599791150,192.168.86.90,50713,239.255.255.250,1900,17,202,0,1,0
1599791151,192.168.86.90,59651,8.37.96.91,443,17,60727,3185747,360,2202
1599791151,192.168.86.90,50713,239.255.255.250,1900,17,202,0,1,0
1599791152,192.168.86.90,59651,8.37.96.91,443,17,194431,1658478,855,1220
1599791152,192.168.86.90,50713,239.255.255.250,1900,17,202,0,1,0
1599791153,192.168.86.90,59651,8.37.96.91,443,17,80106,3504982,622,2414
1599791154,192.168.86.90,59651,8.37.96.91,443,17,75254,2728849,483,1897
1599791155,192.168.86.90,59651,8.37.96.91,443,17,83718,3403974,615,2355
1599791156,192.168.86.90,59651,8.37.96.91,443,17,91770,4172356,565,2888
1599791157,192.168.86.90,59651,8.37.96.91,443,17,111161,4185391,536,2902
1599791158,192.168.86.90,59651,8.37.96.91,443,17,65910,3494775,428,2416
1599791158,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791159,192.168.86.90,59651,8.37.96.91,443,17,48447,2527105,324,1750
1599791160,192.168.86.90,59651,8.37.96.91,443,17,1633,2641,12,12
1599791161,192.168.86.90,59651,8.37.96.91,443,17,118,172,1,1
1599791162,192.168.86.90,59651,8.37.96.91,443,17,764,718,6,5
1599791163,192.168.86.90,59651,8.37.96.91,443,17,236,236,2,2
1599791164,192.168.86.90,59651,8.37.96.91,443,17,8154,2152,12,7
1599791165,192.168.86.90,59651,8.37.96.91,443,17,504,410,4,3
1599791168,192.168.86.90,59651,8.37.96.91,443,17,666,560,5,4
1599791169,192.168.86.90,59651,8.37.96.91,443,17,530,0,5,0
1599791170,192.168.86.90,59651,8.37.96.91,443,17,106,708,1,6
1599791171,192.168.86.90,59651,8.37.96.91,443,17,1094,1000,8,8
1599791172,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791172,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791173,192.168.86.90,59651,8.37.96.91,443,17,7910,1913,9,5
1599791173,192.168.86.1,35156,239.255.255.250,1900,17,10254,0,22,0
1599791173,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791174,192.168.86.90,59651,8.37.96.91,443,17,118,292,1,2
1599791175,192.168.86.90,59651,8.37.96.91,443,17,504,528,4,4
1599791176,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791177,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791178,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791178,192.168.86.90,59651,8.37.96.91,443,17,3474,1361,5,2
1599791179,192.168.86.90,59651,8.37.96.91,443,17,30866,1686151,221,1167
1599791180,192.168.86.90,59651,8.37.96.91,443,17,318,590,3,5
1599791181,192.168.86.90,59651,8.37.96.91,443,17,212,236,2,2
1599791181,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791182,192.168.86.90,59651,8.37.96.91,443,17,504,410,4,3
1599791183,192.168.86.90,59651,8.37.96.91,443,17,1182,1282,9,9
1599791184,192.168.86.90,59651,8.37.96.91,443,17,118,149,1,1
1599791185,192.168.86.90,59651,8.37.96.91,443,17,702,497,5,3
1599791186,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791188,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791188,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791189,192.168.86.90,59651,8.37.96.91,443,17,224,236,2,2
1599791190,192.168.86.90,59651,8.37.96.91,443,17,384,380,3,3
1599791191,192.168.86.90,59651,8.37.96.91,443,17,988,904,7,7
1599791192,192.168.86.90,59651,8.37.96.91,443,17,398,410,3,3
1599791192,192.168.86.90,5353,224.0.0.251,5353,17,99,0,1,0
1599791192,192.168.86.91,5353,224.0.0.251,5353,17,213,0,1,0
1599791194,192.168.86.90,59651,8.37.96.91,443,17,13008,527711,86,378
1599791195,192.168.86.90,59651,8.37.96.91,443,17,15064,792887,111,557
1599791196,192.168.86.90,59651,8.37.96.91,443,17,636,708,6,6
1599791197,192.168.86.90,59651,8.37.96.91,443,17,318,354,3,3
1599791198,192.168.86.90,59651,8.37.96.91,443,17,530,590,5,5
1599791202,192.168.86.90,59651,8.37.96.91,443,17,410,346,3,2
1599791203,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791203,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791204,192.168.86.90,59651,8.37.96.91,443,17,398,292,3,2
1599791205,192.168.86.90,59651,8.37.96.91,443,17,2240,2022,12,10
1599791206,192.168.86.90,59651,8.37.96.91,443,17,0,118,0,1
1599791208,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791209,192.168.86.90,59651,8.37.96.91,443,17,236,260,2,2
1599791210,192.168.86.90,59651,8.37.96.91,443,17,1392,1418,12,11
1599791211,192.168.86.90,59651,8.37.96.91,443,17,34898,1688927,230,1178
1599791212,192.168.86.90,59651,8.37.96.91,443,17,18807,7572,35,21
1599791213,192.168.86.90,59651,8.37.96.91,443,17,2700,4928,21,24
1599791214,192.168.86.90,59651,8.37.96.91,443,17,224,410,2,3
1599791215,192.168.86.90,59651,8.37.96.91,443,17,728,700,6,5
1599791216,192.168.86.90,59651,8.37.96.91,443,17,0,118,0,1
1599791217,192.168.86.90,59651,8.37.96.91,443,17,20896,5839,22,9
1599791218,192.168.86.90,59651,8.37.96.91,443,17,118,149,1,1
1599791218,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791219,192.168.86.90,59651,8.37.96.91,443,17,354,1450,3,3
1599791220,192.168.86.90,59651,8.37.96.91,443,17,212,236,2,2
1599791222,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
1599791223,192.168.86.90,59651,8.37.96.91,443,17,354,1479,3,3
1599791223,192.168.86.1,1900,239.255.255.250,1900,17,122,0,1,0
1599791224,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
1599791225,192.168.86.255,138,192.168.86.91,138,17,0,478,0,2
1599791225,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
1599791227,192.168.86.90,59651,8.37.96.91,443,17,23571,1295293,159,893
1599791228,192.168.86.90,59651,8.37.96.91,443,17,16876,289864,142,202
1599791229,192.168.86.90,59651,8.37.96.91,443,17,2994,1838,9,8
1599791230,192.168.86.90,59651,8.37.96.91,443,17,1995,1476,7,8
1599791231,192.168.86.90,59651,8.37.96.91,443,17,634,472,4,4
1599791232,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791232,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791233,192.168.86.1,35156,239.255.255.250,1900,17,10254,0,22,0
1599791233,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791233,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791234,192.168.86.90,59651,8.37.96.91,443,17,398,410,3,3
1599791235,192.168.86.90,59651,8.37.96.91,443,17,398,410,3,3
1599791237,192.168.86.90,59651,8.37.96.91,443,17,212,236,2,2
1599791238,192.168.86.90,59651,8.37.96.91,443,17,3919,4407,12,12
1599791238,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791242,192.168.86.90,59651,8.37.96.91,443,17,3541,174,5,1
1599791242,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791243,192.168.86.90,59651,8.37.96.91,443,17,77211,1725403,637,1195
1599791244,192.168.86.90,59651,8.37.96.91,443,17,921,1249,7,8
1599791245,192.168.86.90,59651,8.37.96.91,443,17,410,348,3,2
1599791246,192.168.86.90,59651,8.37.96.91,443,17,6873,5778,16,11
1599791247,192.168.86.90,59651,8.37.96.91,443,17,4119,472,3,4
1599791248,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791248,192.168.86.90,59651,8.37.96.91,443,17,503,727,4,3
1599791250,192.168.86.90,59651,8.37.96.91,443,17,266,262,2,2
1599791251,192.168.86.90,59651,8.37.96.91,443,17,634,472,4,4
1599791252,192.168.86.90,59651,8.37.96.91,443,17,410,1508,3,3
1599791255,192.168.86.90,59651,8.37.96.91,443,17,938,994,7,7
1599791256,192.168.86.90,59651,8.37.96.91,443,17,212,236,2,2
1599791257,192.168.86.90,59651,8.37.96.91,443,17,118,1247,1,1
1599791258,192.168.86.90,59651,8.37.96.91,443,17,878,796,7,6
1599791259,192.168.86.90,59651,8.37.96.91,443,17,32621,876717,252,606
1599791260,192.168.86.90,59651,8.37.96.91,443,17,118,172,1,1
1599791261,192.168.86.90,59651,8.37.96.91,443,17,212,236,2,2
1599791262,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
